,nome,coordenadas,localiza__oLabel,imagem,DGPC_ID,informação
523,Claustro da Misericórdia de Estremoz,Point(-7.584407 38.842889),Estremoz (Santa Maria e Santo André),http://commons.wikimedia.org/wiki/Special:FilePath/Claustros%20do%20Convento%20das%20Maltesas%20Estremoz%20%282%29.jpg,69807.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69807
524,Citânia de Sanfins,Point(-8.38666667 41.32305556),Sanfins Lamoso Codessos,http://commons.wikimedia.org/wiki/Special:FilePath/Citania%20de%20Sanfins%20Portugal%2006.jpg,70495.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70495
525,Citânia de Sabroso,Point(-8.34155556 41.51202778),Sande São Lourenço e Balazar,http://commons.wikimedia.org/wiki/Special:FilePath/Pedra%20Formosa-Cit%C3%A2nia%20de%20Sabroso.png,69792.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69792
526,Citânia de Briteiros,Point(-8.31583333 41.5275),Briteiros São Salvador e Briteiros Santa Leocádia,http://commons.wikimedia.org/wiki/Special:FilePath/Castro%20de%20Briteiros.jpg,74371.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/74371
527,City walls of Évora,Point(-7.908571 38.566848),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/Evora%20%2835481402692%29.jpg,69777.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69777
528,City walls of Elvas,Point(-7.16315 38.88219),"Caia, São Pedro e Alcáçova",http://commons.wikimedia.org/wiki/Special:FilePath/Baluarte%20em%20Elvas%2C%20Portugal.jpg,,http://www.google.com/search?q=City%20walls%20of%20Elvas
529,Cidade romana de Ammaia,Point(-7.38639722 39.36933056),São Salvador da Aramenha,http://commons.wikimedia.org/wiki/Special:FilePath/Cidade%20Romana%20de%20Ammaia%20III.jpg,69711.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69711
530,Church of São Pedro (Leiria),Point(-8.807383333 39.747197222),"Leiria, Pousos, Barreira e Cortes",http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20S%20Pedro%20Leiria%20IMG%209011.JPG,70459.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70459
531,Church of São Julião (Setúbal),Point(-8.892574 38.523916),"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",http://commons.wikimedia.org/wiki/Special:FilePath/Church%20in%20Praca%20do%20Bocage.JPG,70219.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70219
532,Church of São João Baptista (Moura),Point(-7.449504 38.143579),Moura (Santo Agostinho e São João Baptista) e Santo Amador,http://commons.wikimedia.org/wiki/Special:FilePath/MouraPortal-CCBY.jpg,70424.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70424
